indicator,indicator_type,indicator_id,survey_id,survey_question_id,survey_question_option_id,year
above_200_fpl,percentage,8,1,,,2024
hs_diploma,percentage,10,1,,,2024
postsecondary,percentage,11,1,,,2024
oo_no_cost_burden,percentage,14,1,,,2024
ro_no_cost_burden,percentage,15,1,,,2024
over_20_seeking_emp,percentage,17,1,,,2024
btwn_16_19_seeking_emp,percentage,63,1,,,2024
hierfindal,index,28,1,,,2024
